TICKER,Year,Current_Ratio,Debt_to_Equity,Net_Income_to_Assets,Operating_Margin,Cash_Ratio,Operating_Cash_Flow_Ratio,Settore,esg overall,esg environmental,esg social,esg governance,downside risk
A,2016-01-01,3.8465610343875096,0.835609971785638,0.0586011310513273,0.1463588754064677,0.6451521910365177,0.2209601622870078,Healthcare Equipment & Supplies,2.89,1.5,1.73,5.93,0.0043147118512042
A,2017-01-01,3.3008709808289414,0.7427094120079967,0.0852890861212283,0.1880590451650879,0.7457532563068926,0.2601028883958446,Healthcare Equipment & Supplies,2.97,1.5,1.7,6.37,0.0027626492377819
A,2018-01-01,3.286080430751858,0.8685189362515725,0.0352352065636379,0.1888481909720395,0.5659949583214423,0.2607579080983966,Healthcare Equipment & Supplies,3.04,1.5,1.7,6.62,0.0030496808975318
A,2019-01-01,1.5331730952919242,0.9907329274292588,0.1123493328077779,0.1822583722485764,0.2937925191526263,0.2152103519612517,Healthcare Equipment & Supplies,3.19,1.5,1.9,6.69,0.0055187324006425
A,2020-01-01,2.327879983487608,0.9755797266681664,0.0773104719944667,0.158456637771748,0.3031131639166159,0.2005399295257773,Healthcare Equipment & Supplies,5.06,1.5,5.08,6.57,0.0017751991942415
A,2021-01-01,2.2242388448677395,0.9864538905604748,0.1092627859531015,0.2131666419892186,0.2962753948623666,0.2700318972169434,Healthcare Equipment & Supplies,7.33,3.0,8.79,6.72,0.0026546685484142
A,2022-01-01,2.0300913854210894,0.9852969033505768,0.1103655619680867,0.2362733642403329,0.201453988603412,0.2326634851472368,Healthcare Equipment & Supplies,6.86,3.0,8.01,6.5,0.0034337946183599
A,2023-01-01,2.6113537636445874,0.8414028995727085,0.1135295859966603,0.1975706113917565,0.3233021566506278,0.355055239215833,Healthcare Equipment & Supplies,6.86,3.0,8.01,6.5,0.001918007546684
AAL,2019-01-01,0.4481459241385417,-509.4324346957225,0.0281920089861647,0.066968187706269,0.063646798727039,0.0636663041947287,Passenger Transportation Services,5.08,3.77,5.03,7.71,0.0018539640819215
AAL,2020-01-01,0.6696239966575999,-10.02985294448303,-0.153658009891446,-0.6010843870341075,0.0996588017143214,-0.1018734001790357,Passenger Transportation Services,4.67,2.86,5.33,7.14,0.0253956112595591
AAL,2021-01-01,0.9121330111010264,-10.055449524939318,-0.028881845413662,-0.0354393939827282,0.1684257594703202,0.0091875318198297,Passenger Transportation Services,5.59,5.72,4.72,6.95,0.0110028763441304
AAL,2022-01-01,0.7103181953774791,-12.159855182994542,0.0020000669048557,0.0328153391452442,0.1271360702046893,0.0314073086511104,Passenger Transportation Services,5.55,6.29,3.95,7.33,0.0072265552585238
AAL,2023-01-01,0.6151754148753007,-13.121876084307084,0.0133384417438035,0.0574751847150403,0.1110167011566254,0.0570077024938961,Passenger Transportation Services,5.55,6.29,3.95,7.33,0.0046936162033666
ABNB,2021-01-01,1.9477639247389944,1.8704560102417216,-0.0247354123560024,0.0716512394430823,0.9316801331737492,0.2361138324544732,Software & IT Services,3.23,2.53,2.28,6.02,0.0121021748770181
ABNB,2022-01-01,1.8627475567796783,1.884532375846988,0.1202964781833866,0.2145493553129196,0.9183050213532036,0.333632409233066,Software & IT Services,2.61,2.55,1.13,6.04,0.0092234832368185
ABNB,2023-01-01,1.6591959758975596,1.5284752061315343,0.2375064529728177,0.1530704898556258,0.8069711533240339,0.3184477083933871,Software & IT Services,2.61,2.55,1.13,6.04,0.0040145419570049
ACGL,2016-01-01,,2.154517739604013,,,,0.06637611825444,Insurance,1.41,0.0,0.5,5.86,0.0038317134770264
ACGL,2017-01-01,,2.128231635536361,,,,0.054410120749419,Insurance,1.44,0.0,0.5,5.99,0.0026298373581855
ACGL,2018-01-01,,2.0867330808008107,,,,0.0694815957340017,Insurance,1.5,0.0,0.5,6.35,0.002450550613442
ACGL,2019-01-01,,2.0762211147491096,,,,0.0803680244630137,Insurance,1.57,0.0,0.59,6.56,0.0181754267783832
ACGL,2020-01-01,,2.094368518510345,,,,0.1056638505169312,Insurance,1.6,0.08,0.59,6.43,0.0025733467845478
ACGL,2021-01-01,,2.3272235963923413,,,,0.104656542028389,Insurance,1.69,0.12,0.59,6.82,0.0026206023069225
ACGL,2022-01-01,,2.7141762267066625,,,,0.1108771411830246,Insurance,1.73,0.12,0.68,6.82,0.0036733377346035
ACGL,2023-01-01,,2.2092617838185538,,,,0.1450655306196971,Insurance,,,,,0.0021564688078863
ADI,2015-01-01,3.6626307659816297,0.3921220381175492,0.0958898014349654,0.2418686174599928,1.5226719269562108,0.4434666576863329,Semiconductors & Semiconductor Equipment,3.62,,,,0.0072262957286577
ADI,2016-01-01,6.354128165007549,0.5429476204005212,0.1066518630890701,0.3004937478186598,1.446090779227598,0.4505440745093,Semiconductors & Semiconductor Equipment,3.86,,,,0.0106802562876129
ADI,2017-01-01,1.472963089024926,1.080520670272671,0.0359770723701969,0.2065850953671923,0.0954336488248447,0.105976995551367,Semiconductors & Semiconductor Equipment,4.47,,,,0.0058822185143634
