TICKER,Year,Current_Ratio,Debt_to_Equity,Net_Income_to_Assets,Operating_Margin,Cash_Ratio,Operating_Cash_Flow_Ratio,Settore,esg overall,esg environmental,esg social,esg governance,downside risk
A,2012,2.445324839228186,1.0320154129125167,0.10993014271333187,0.16316709723513725,0.43935714173871104,0.23052959629923309,,,,,,
A,2013,3.1104868662692,1.0204197377977067,0.06993094250627586,0.14022412799987566,0.4956457247107863,0.22031599368877394,,,,,,
A,2014,3.231492331646532,1.0431993995331972,0.04327166811025961,0.1190373865799624,0.4010849987931265,0.11956003908040497,,,,,,
A,2015,3.776639288742945,0.7935251890373066,0.052102087522814026,0.12927192980781252,0.605318827088124,0.1441912897932432,Healthcare Equipment & Supplies,2.79,1.5,1.69,5.64,
A,2016,3.8465610343875096,0.835609971785638,0.05860113105132736,0.14635887540646775,0.6451521910365177,0.22096016228700788,Healthcare Equipment & Supplies,2.89,1.5,1.73,5.93,0.004314711851204203
A,2017,3.3008709808289414,0.7427094120079967,0.0852890861212283,0.18805904516508795,0.7457532563068926,0.26010288839584467,Healthcare Equipment & Supplies,2.97,1.5,1.7,6.37,0.0027626492377819134
A,2018,3.286080430751858,0.8685189362515725,0.035235206563637995,0.18884819097203953,0.5659949583214423,0.2607579080983966,Healthcare Equipment & Supplies,3.04,1.5,1.7,6.62,0.0030496808975318357
A,2019,1.5331730952919242,0.9907329274292588,0.11234933280777798,0.18225837224857647,0.2937925191526263,0.2152103519612517,Healthcare Equipment & Supplies,3.19,1.5,1.9,6.69,0.005518732400642514
A,2020,2.3278799834876076,0.9755797266681664,0.07731047199446674,0.15845663777174804,0.30311316391661597,0.2005399295257773,Healthcare Equipment & Supplies,5.06,1.5,5.08,6.57,0.0017751991942415483
A,2021,2.2242388448677395,0.9864538905604747,0.1092627859531015,0.21316664198921867,0.29627539486236665,0.27003189721694343,Healthcare Equipment & Supplies,7.33,3.0,8.79,6.72,0.002654668548414245
A,2022,2.0300913854210894,0.9852969033505767,0.11036556196808676,0.23627336424033293,0.201453988603412,0.23266348514723686,Healthcare Equipment & Supplies,6.86,3.0,8.01,6.5,0.0034337946183599023
A,2023,2.6113537636445874,0.8414028995727085,0.1135295859966603,0.19757061139175652,0.32330215665062784,0.355055239215833,Healthcare Equipment & Supplies,6.86,3.0,8.01,6.5,0.0019180075466840923
AAL,2012,0.7601031907818557,-3.9435332147602633,-0.08194907599332209,0.005954535800353397,0.12356732344363776,0.041898432423744796,,,,,,
AAL,2013,1.0374474821227153,-16.48077643734043,-0.04504954172318111,0.052312756400057836,0.2055366696624887,0.015574349056967996,,,,,,
AAL,2014,0.9015258680887632,20.658090454716334,0.060070126647256285,0.0996248547664152,0.1749221561352585,0.06730468068401384,,,,,,
AAL,2015,0.7339213549829311,7.591836693373052,0.15397362146363908,0.1513539881990237,0.14618980776057186,0.14309068130391542,Passenger Transportation Services,2.95,1.71,2.18,7.4,
AAL,2016,0.744232991320196,12.546631477676224,0.04975849727321564,0.13150821291249254,0.13390469324020873,0.13097827774626,Passenger Transportation Services,2.8,1.5,2.09,7.32,
AAL,2017,0.6112002138444175,12.091186900270314,0.03981531273830967,0.09614519045068962,0.10672003360872045,0.10656876711647131,Passenger Transportation Services,2.89,1.6,2.15,7.43,
